tweetId,twitterUserId,content,favoriteCount,createdTime
1248633288631005184,1086037534176473088,"Curious about the nuances of visualizing health data? Don’t miss the opportunity to hear about the importance of visualizing public health data responsibly from our expert panel next Tuesday, April 14th at 11:00 AM EDT. Sign up for the fireside chat here: https://t.co/3yw5Z8ngNy",11,2020-04-10 15:25:49
1248629721061081088,1086037534176473088,"After a recent move, @lorenka set out to create a #dataviz of all the places she’s lived and the impact they’ve had on her identity. In the process, she learned valuable lessons about what makes a good icon and how to think about visual representation.

https://t.co/x3DPupcEBu",6,2020-04-10 15:11:38
1248394059778887684,1086037534176473088,RT @attilabatorfy: My ode to Hungarian statistician Lajos Illyefalvi in @DataVizSociety The Hungarian Statistician Behind Three Volumes of…,0,2020-04-09 23:35:12
1248287053852184577,1086037534176473088,"Revisiting the life and overlooked work of the Hungarian statistician behind three volumes of #dataviz masterpieces, Lajos Illyefalvi (1881–1944). 

@attilabatorfy: https://t.co/RGVMI9l2eY",82,2020-04-09 16:30:00
1248281321660612608,1086037534176473088,"Kevin Maher interviewed three #Datavisualization practitioners in China about the challenges they’ve faced creating visualizations in response to COVID-19 and their message for practitioners around the world who are also responding to this crisis: 

https://t.co/UVp4Wh2dQ9",11,2020-04-09 16:07:13
1247971640266207232,1086037534176473088,"RT @ektaaa11: I miss tennis so wrote about the longest rallies at US Open 2019 with some cool interactive plots for 
@DataVizSociety - chec…",0,2020-04-08 19:36:39
1247593483453464582,1086037534176473088,"Dashboards have played a critical role in informing the public during the COVID-19 pandemic. Can their success teach us anything about building dashboards for BI and analytics? #BusinessIntelligence #dataviz 

https://t.co/QlPtxcy7fS",9,2020-04-07 18:34:00
1247585649470967808,1086037534176473088,"How has album artwork and typography evolved over the last 40 years? Using #DataViz, @emmakumer explains: 

https://t.co/EfV1Erk3vB",24,2020-04-07 18:02:52
1247270495197642752,1086037534176473088,"Did you miss our first fireside chat on Color Theory with @alangwilson, @tmrhyne, @yuliakrolik and @AmyCesal? Or want to catch it again? Here it is! #color #colortheory #datavisualization
https://t.co/fj6c7ybABR",83,2020-04-06 21:10:33
1247268581999443968,1086037534176473088,RT @SMDreller: Had the very distinct pleasure of spreading the word about @DataVizSociety &amp; their excellent Nightingale journal during a me…,0,2020-04-06 21:02:57
1247160078651842561,1086037534176473088,"To mark @rstudio's 20th birthday, @W_R_Chase interviewed @hadleywickham, creator of ggplot and tidyr, about the last 20 years of R, its role in the #dataviz landscape, and what's in store for the next 20 years. 

https://t.co/2dn0LSqG4X",22,2020-04-06 13:51:48
1246576103151427584,1086037534176473088,@melliferocity @creeeeeeeeeeg @Data_viz_Penn We’ll have it up as soon as we edit it.,3,2020-04-04 23:11:17
1246473696996294657,1086037534176473088,"RT @Marc_DS5: A view of the 11,500+ new members of the Data Visualization Society over the last year and how each member scored themselves…",0,2020-04-04 16:24:22
1246129188735578112,1086037534176473088,"A few tips for how to get the most out of funnels in #DataViz and #BusinessIntelligence, by @73805_ (Jay): 

https://t.co/RAcCEhpK6q",10,2020-04-03 17:35:25
1246101093022494720,1086037534176473088,"RT @abmakulec: I'm loving the insights from the @DataVizSociety webinar on color theory right now, especially the emphasis on ""get it right…",0,2020-04-03 15:43:46
1245939423843246087,1086037534176473088,"RT @melliferocity: If you're missing our @Data_viz_Penn workshops, consider checking out this webinar on Color Theory at 10AM EST!

Will al…",0,2020-04-03 05:01:21
1245939295090696192,1086037534176473088,"RT @matplotlib: Learn how to do color, then customize away using our tutorials:
https://t.co/589tlBnUdZ",0,2020-04-03 05:00:51
1245939270365241344,1086037534176473088,"RT @indiedataviz: Do your colleagues blink rapidly and reach for metaphorical sunglasses when you present your data visualizations? If yes,…",0,2020-04-03 05:00:45
1245882381078151168,1086037534176473088,"@tshaikh1992 @tmrhyne @alangwilson @yuliakrolik @AmyCesal Yes we’ll record it and post it on our YouTube channel!
https://t.co/ZERxvqFOmJ",37,2020-04-03 01:14:41
1245882189817901059,1086037534176473088,RT @abmakulec: Can't wait for our first fireside chat tomorrow! Big thanks to @ExcellaCo for helping with webinar technology.,0,2020-04-03 01:13:56
1245871565134155776,1086037534176473088,"Color is Hard. But it doesn’t have to be! Join us tomorrow at 10AM EST for our first Fireside Chat. The topic is using color theory for data visualization and our panel will be @tmrhyne, @alangwilson and @yuliakrolik hosted by @AmyCesal.
https://t.co/YKPJm8XWmY https://t.co/fi2bUHkhPE",200,2020-04-03 00:31:42
1245750812564836354,1086037534176473088,"More details about our fireside chat series for all your socially distanced data visualization design needs!
https://t.co/OEPY10Lsmj",2,2020-04-02 16:31:53
1245750511589941249,1086037534176473088,"Our first fireside chat featuring Theresa, @alangwilson and @yuliakrolik will be held tomorrow at 10AM EST:
https://t.co/YKPJm8XWmY",9,2020-04-02 16:30:41
1245749163796631554,1086037534176473088,"Using color theory and the Albers App, you can achieve harmony in your #DataVisualization. 

For more about how to use color in #dataviz design, join author @tmrhyne in DVS's first Fireside Chat tomorrow (details below).

https://t.co/LV6evya75g",16,2020-04-02 16:25:20
1245375367596163072,1086037534176473088,"The Great Emoji Movie Challenge by @Jasonforrestftw 

• Got us thinking about visual representation and how we communicate with signs
• Is a fun puzzle to entertain yourself during quarantine!

See how many you can get! #dataviz

https://t.co/coi011l52k",6,2020-04-01 15:40:00
1245366007927013377,1086037534176473088,"Data scientists often need to put themselves in their audience’s shoes in order to bridge the gap between creator and viewer and get the most out of their #DataVisualization 

https://t.co/icXIobJWti",20,2020-04-01 15:02:48
1245055762931552262,1086037534176473088,"As we do all we can to flatten the curve, it's worth grappling with the reality that the curve won't be as smooth as the popular graphic may have implied. @abmakulec on the unpredictable shape of COVID-19: 

https://t.co/lvEEdRIfd0",20,2020-03-31 18:30:00
1245014046576959493,1086037534176473088,"In a comprehensive and thorough deep dive, @janezhgw explores how freelancers can earn a living in #DataVisualization, including interviews with four designers about how they got their starts and have built their careers: 

https://t.co/Thkvn3JW4I",65,2020-03-31 15:44:14
1244641532457746439,1086037534176473088,"Everything you need to know about the scatterplot, including where it came from, when to use it, and how to create one. #DataVisualization 

https://t.co/ZZmw4iTw42",40,2020-03-30 15:04:00
1244633728007241730,1086037534176473088,"“Flatten the Curve” has become one of the most-viewed visualizations of all time. Our challenge now is to figure out how this graphic translates to real life, which means recognizing its uncertainty. @abmakulec:

https://t.co/lvEEdRIfd0",30,2020-03-30 14:32:59
1244482074083340291,1086037534176473088,"RT @Mayacelium: A YEAR ago I wanted to learn #d3js and @neo4j. I was overwhelmed, thought it IMPOSSIBLE, but kept with it.  With help from…",0,2020-03-30 04:30:22
1244481549556256768,1086037534176473088,RT @abmakulec: @davidbau Saw your note on the tool asking for D3 developers to work on the project - @DataVizSociety has a long list of dat…,0,2020-03-30 04:28:17
1244480839733264384,1086037534176473088,"RT @abmakulec: It's been 18 days since @DataVizSociety published this article, and it's still a great idea to collaborate with an epidemiol…",0,2020-03-30 04:25:28
1243972064819765249,1086037534176473088,"Ask yourself these 15 questions to help spot misleading or false information when it comes to COVID-19 stats

https://t.co/4Glx3Z1IlU",29,2020-03-28 18:43:46
1243588642263662593,1086037534176473088,"Great visualizations are the result of clear strategic thinking, not the other way around. @dan_gastineau on the inextricable relationship between #dataviz and strategy:

https://t.co/O5yXnwRDjw",29,2020-03-27 17:20:11
1243379280458940416,1086037534176473088,Some exciting news for our early-career DVS members! @defilippovale will also be joining us for the Q&amp;A session tomorrow. Don't forget to join us on 27th March at 3.00 PM EST.,3,2020-03-27 03:28:15
1243187702721323008,1086037534176473088,"Here are 15 questions from @stats_ninja to help you judge fact from fiction and close the door on misinformation. #SniffTest #DataVisualization #VizResponsibly

https://t.co/4Glx3Z1IlU",15,2020-03-26 14:47:00
1243178891612688384,1086037534176473088,"Staying home is the safest and most helpful thing you can do to limit the spread of COVID-19. Here are Nightingale's recommendations for books, TV shows, podcasts, and more to enjoy during social distancing. #StayHome #DataVisualization 

https://t.co/dubb39pwQq",52,2020-03-26 14:11:59
1242938524699066368,1086037534176473088,"If you're an early career DVS member, stop by the connect-early-career channel on the slack and join us for a live Q&amp;A on 27th March at 3.00 PM EST with @beepybop  and Dino Citaro with tips on how to navigate your early career dataviz issues!",12,2020-03-25 22:16:51
1242833274118049793,1086037534176473088,"Circles are a foundational shape in #DataViz, but drawing them requires some basic mathematical knowledge. @marianaariton has your guide, including how to apply this math in @tableau and @d3js_org. #Tableau #D3js #Datavisualization

https://t.co/6tjxvoVQTW",11,2020-03-25 15:18:37
1242828432515317760,1086037534176473088,RT @VanessaMohli: @DataVizSociety demande aux data analyst de respecter une éthique face à la diffusion de #dataviz en lien avec le #covid1…,0,2020-03-25 14:59:23
1242584423662419968,1086037534176473088,RT @mssanjanam: If you have spare time and want to improve public messaging and help researchers by advising or supporting the creation of…,0,2020-03-24 22:49:47
1242470979982540800,1086037534176473088,"This 20-year-old book is full of insights about UX, design, and visualizing layered data that still hold true today. #DataVisualization #uxdesign 

https://t.co/wbHCYdMrKl",52,2020-03-24 15:19:00
1242463013392785409,1086037534176473088,"If you’ve wanted to learn #dataviz but aren’t sure how to start, @Evelina_Jud wrote about going from simple charts in Excel to leading workshops at her workplace. On the books she read, tools she used, and tips she has for people who want to do the same: 

https://t.co/MA63bgocOa",98,2020-03-24 14:47:20
1242164208386674690,1086037534176473088,"Looking for a way to visualize the COVID-19 pandemic that isn't looking at case loads? Here are 13 other ideas:   

https://t.co/u97SJn2yFS",50,2020-03-23 19:00:00
1242116644987645953,1086037534176473088,".@datavisFriendly and the Raiders of the Lost Tombs went searching for the burial sites of four unheralded #dataviz heroes. Their journeys shined greater light onto the personal histories and pioneering work of these practitioners.

https://t.co/Pw4lRsKumQ",2,2020-03-23 15:51:00
1242108957918928896,1086037534176473088,"Word clouds were big nine or 10 years ago, but now they mostly send a shiver down @alanapirrone's spine. When is the right time to use one? #Datavisualization 

https://t.co/s75OnTvS1t",10,2020-03-23 15:20:27
